epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.046,1.31191,2.09318,1.9651,1.27841,0,0.58694,0.59036,0.53784,0.25092,0.5443,0.52209,0.41874,0.13236,1.61321,1.35539,2.23024,1.44048,0,0.00997849,0.00332616,0.00997849,0.00332616,0.00997849,0.00332616,0.00997849,0.00332616
2,195.995,1.25185,1.68727,1.41937,1.228,0,0.62325,0.57136,0.54072,0.26727,0.47359,0.45886,0.32241,0.09757,1.65667,1.41994,1.85726,1.50991,0,0.0198796,0.00662653,0.0198796,0.00662653,0.0198796,0.00662653,0.0198796,0.00662653
3,291.507,1.33993,1.71364,1.36249,1.28594,0,0.66685,0.62249,0.60096,0.27034,0.66708,0.56225,0.48773,0.14532,1.8505,1.32859,1.74032,1.53708,0,0.0296817,0.0098939,0.0296817,0.0098939,0.0296817,0.0098939,0.0296817,0.0098939
4,390.08,1.35832,1.72744,1.33348,1.29914,0,0.48026,0.54181,0.42642,0.18863,0.39514,0.44578,0.27618,0.06853,1.79165,1.36327,1.78225,1.64303,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,488.877,1.30121,1.71925,1.2652,1.28855,0,0.55658,0.61044,0.52791,0.27359,0.45599,0.53012,0.3684,0.10561,1.69833,1.39473,1.80353,1.53492,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,585.215,1.25493,1.67106,1.21829,1.25315,0,0.65926,0.65863,0.61283,0.33736,0.56855,0.57028,0.43327,0.12754,1.54046,1.23335,1.52422,1.36896,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,680.322,1.20601,1.67768,1.16308,1.22388,0,0.74356,0.72197,0.68601,0.37922,0.58391,0.58635,0.43344,0.14028,1.50334,1.27436,1.57707,1.43478,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,775.219,1.18262,1.63699,1.12653,1.23045,0,0.74177,0.69076,0.66231,0.34542,0.64689,0.60241,0.46927,0.14272,1.54669,1.23464,1.40445,1.37687,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,883.625,1.15255,1.64814,1.09202,1.20452,0,0.77369,0.66265,0.72138,0.43508,0.64319,0.58635,0.52402,0.15227,1.37322,1.26653,1.37481,1.27165,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,993.389,1.11464,1.60794,1.07546,1.19391,0,0.80419,0.66667,0.69631,0.42152,0.68792,0.57028,0.51635,0.14777,1.42286,1.38048,1.33846,1.32285,0,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1102.83,1.1124,1.61007,1.04365,1.18647,0,0.73606,0.72799,0.72635,0.44273,0.7252,0.61847,0.58887,0.17107,1.37502,1.19202,1.25803,1.23428,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1211.68,1.09371,1.58975,1.02632,1.17998,0,0.74525,0.65863,0.70803,0.44376,0.65374,0.5502,0.53816,0.16609,1.33529,1.24664,1.37665,1.2651,0,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1320.89,1.06467,1.57482,0.99817,1.16543,0,0.68286,0.66265,0.65205,0.39703,0.56083,0.57831,0.45603,0.14193,1.32597,1.20071,1.37527,1.26741,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1425.81,1.06382,1.59873,1.01294,1.16148,0,0.76502,0.69076,0.73045,0.48853,0.66238,0.59839,0.55858,0.18343,1.21825,1.26302,1.2273,1.17067,0,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1522.19,1.03444,1.54822,0.95547,1.14773,0,0.75318,0.71486,0.71734,0.47019,0.63021,0.61044,0.53885,0.1624,1.21206,1.25534,1.22704,1.18537,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
